分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
操作系统,,（3 副本集群）一个主节点和一个存储节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,（3 副本集群）两个存储节点的操作系统同时挂起,,P2,Pending,,,,,
操作系统,,双活集群的仲裁节点的操作系统挂起,,P3,Pending,,,,,
操作系统,内核死锁,ZBS Metad Leader 所在的主节点的操作系统内核发生死锁,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）的操作系统内核同时发生死锁,,P2,Pending,,,,,
操作系统,,一个 ZBS Metad Follower 所在的主节点的操作系统内核发生死锁,,P1,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点的操作系统内核同时发生死锁,,P2,Pending,,,,,
操作系统,,Zookeeper Leader 所在的节点的操作系统内核发生死锁,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点的操作系统内核同时发生死锁,,P2,Pending,,,,,
操作系统,,一个 Zookeeper Follower 所在的节点的操作系统内核发生死锁,,P1,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点的操作系统内核同时发生死锁,,P2,Pending,,,,,
操作系统,,ZBS Taskd Leader 所在的节点的操作系统内核发生死锁,,P1,Pending,,,,,
操作系统,,一个 ZBS Taskd Follower 所在的节点的操作系统内核发生死锁,,P2,Pending,,,,,
操作系统,,ZBS NTPd Leader 所在的节点的操作系统内核发生死锁,,P1,Pending,,,,,
操作系统,,一个 ZBS NTPd Follower 所在的节点的操作系统内核发生死锁,,P2,Pending,,,,,
操作系统,,Primary MongoDB 所在的节点的操作系统内核发生死锁,,P0,Pending,,,,,
操作系统,,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点的操作系统内核同时发生死锁,,P2,Pending,,,,,
操作系统,,一个 Secondary MongoDB 所在的节点的操作系统内核发生死锁,,P1,Pending,,,,,
