分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Power Supply,,运行 Prometheus 服务的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,Siren Leader 所在的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,NTPm Leader 所在的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,一个 NTPm Follower 所在的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,集群内 NTP Server 所在的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,一个非集群内 NTP Server 所在的节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,一个存储节点的电源模块温度过高,,P3,Pending,,,,,
Power Supply,,（物理机部署）双活集群的仲裁节点的电源模块温度过高,,P3,Pending,,,,,
CPU,温度过高,ZBS Metad Leader 所在的主节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,Primary MongoDB 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,运行 Prometheus 服务的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,Siren Leader 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,NTPm Leader 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,一个存储节点的 CPU 温度过高,,P2,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点的 CPU 温度过高,,P3,Pending,,,,,
CPU,温度读取失败,ZBS Metad Leader 所在的主节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,Primary MongoDB 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,运行 Prometheus 服务的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,Siren Leader 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,NTPm Leader 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,一个存储节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点发生 CPU 温度读取失败,,P3,Pending,,,,,
CPU,降频,ZBS Metad Leader 所在的主节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,Primary MongoDB 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,运行 Prometheus 服务的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,Siren Leader 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,NTPm Leader 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,一个存储节点发生 CPU 异常降频,,P2,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点发生 CPU 异常降频,,P3,Pending,,,,,
CPU,电压过高,ZBS Metad Leader 所在的主节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,Primary MongoDB 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,运行 Prometheus 服务的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,Siren Leader 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,NTPm Leader 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,一个存储节点的 CPU 电压过高,,P2,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点的 CPU 电压过高,,P3,Pending,,,,,
CPU,电压过低,ZBS Metad Leader 所在的主节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,Primary MongoDB 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,运行 Prometheus 服务的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,Siren Leader 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,NTPm Leader 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,一个存储节点的 CPU 电压过低,,P2,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点的 CPU 电压过低,,P3,Pending,,,,,
CPU,电压读取失败,ZBS Metad Leader 所在的主节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS Metad Follower 所在的主节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,,Zookeeper Leader 所在的节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,,一个 Zookeeper Follower 所在的节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,,ZBS Taskd Leader 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS Taskd Follower 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,ZBS NTPd Leader 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个 ZBS NTPd Follower 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,Primary MongoDB 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个 Secondary MongoDB 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,运行 Prometheus 服务的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,Siren Leader 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,NTPm Leader 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个 NTPm Follower 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,集群内 NTP Server 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个非集群内 NTP Server 所在的节点的 CPU 电压读取失败,,P3,Pending,,,,,
CPU,,一个存储节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,,（物理机部署）双活集群的仲裁节点的 CPU 的电压读取失败,,P3,Pending,,,,,
CPU,单个 Core 负载过高,ZBS Metad Leader 所在的主节点的一个 CPU Core 利用率超过 95%,stress-ng,P1,Automated,testcases.fault.node.os.fault_node_cpu_stressor,,,,Y
