分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Node,系统 Crash 重启,（3 副本集群）一个主节点和一个存储节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（3 副本集群）两个存储节点同时 Crash 重启一次,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,（3 副本集群）两个存储节点同时持续 Crash 重启 30 分钟以上,,P2,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,双活集群的仲裁节点 Crash 重启一次,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,双活集群的仲裁节点持续 Crash 重启 30 分钟以上,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,系统 Crash 重启,随机顺序依次 Crash 重启所有主节点和双活集群的仲裁节点,,P3,Automated,testcases.fault.node.power.fault_node_reboot,,,,
Node,下电（优雅关机）,ZBS Metad Leader 所在的主节点下电，等待 3～30 分钟后上电,sudo shutdown -P now,P1,Automated,testcases.fault.node.power.fault_node_power_outage,Y,,,
Node,下电（优雅关机）,ZBS Metad Leader 所在的主节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个主节点（包括 ZBS Metad Leader 所在的节点）同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS Metad Follower 所在的主节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS Metad Follower 所在的主节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 ZBS Metad Follower 所在的主节点同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,Zookeeper Leader 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,Y,,,
Node,下电（优雅关机）,Zookeeper Leader 所在的节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 Zookeeper Follower 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 Zookeeper Follower 所在的节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,ZBS Taskd Leader 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,ZBS Taskd Leader 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS Taskd Follower 所在的节点下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS Taskd Follower 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,ZBS NTPd Leader 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,ZBS NTPd Leader 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS NTPd Follower 所在的节点下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 ZBS NTPd Follower 所在的节点下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,Primary MongoDB 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,Y,,
Node,下电（优雅关机）,Primary MongoDB 所在的节点下电，等待至少 24 小时后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,Y,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时下电，等待 3～30 分钟后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,（5 主节点集群或双活集群）Primary MongoDB 所在的节点和一个 Secondary MongoDB 所在的节点同时下电，等待至少 24 小时后上电,,P2,Automated,testcases.fault.node.power.fault_node_power_outage,,,,
Node,下电（优雅关机）,一个 Secondary MongoDB 所在的节点下电，等待 3～30 分钟后上电,,P1,Automated,testcases.fault.node.power.fault_node_power_outage,,Y,,
